id,t,y,a,c,v
9.0,8.0,0.7129986,1.3473481,1.5735114,-16.189005
9.0,9.0,0.98233116,0.49677065,1.4055537,-8.058422
10.0,0.0,2.432769,6.872859,2.7257097,-82.34739
10.0,1.0,3.4247384,6.714202,3.4419844,-73.30149
10.0,2.0,3.338618,6.833629,3.5307703,-64.640945
10.0,3.0,2.9501662,6.777017,3.4573174,-56.175205
10.0,4.0,2.2480817,6.3978224,3.2897348,-47.861317
10.0,5.0,3.0536163,5.4654794,3.9283123,-39.67312
10.0,6.0,1.5413241,4.6844726,2.750772,-31.789785
10.0,7.0,1.1884546,3.5459435,2.1886225,-23.783869
10.0,8.0,1.0851887,2.59773,1.9720995,-15.756641
10.0,9.0,0.93426275,1.7457336,1.9283352,-7.8075814
11.0,0.0,0.5283934,3.9766932,1.028558,-93.638306
11.0,1.0,0.4587083,3.547478,0.99112624,-83.66643
11.0,2.0,0.47081804,3.076592,0.9939357,-73.8577
11.0,3.0,0.44914246,2.605586,0.96654546,-64.24785
11.0,4.0,0.52238053,2.1307988,1.0309484,-54.803844
11.0,5.0,0.34129584,1.6553377,0.903396,-45.608234
11.0,6.0,0.32532564,1.1155485,0.9866976,-36.476723
11.0,7.0,0.38410267,0.4634454,0.778438,-27.606428
11.0,8.0,0.30946746,0.070520505,0.3643098,-18.70499
11.0,9.0,0.33398297,0.01599813,0.3377436,-9.29343
12.0,0.0,0.6739337,6.3783846,1.4384549,-89.10636
12.0,1.0,0.62576485,5.7284317,1.4202745,-79.4634
12.0,2.0,0.70372677,5.034614,1.488134,-70.001274
12.0,3.0,0.5419223,4.336946,1.3560675,-60.771564
12.0,4.0,0.42880696,3.5946944,1.2049863,-51.642
12.0,5.0,0.38214487,2.8760357,1.123701,-42.588715
12.0,6.0,0.43820286,2.1780403,1.1402278,-33.654316
12.0,7.0,0.5743816,1.5061381,1.351469,-24.91138
12.0,8.0,0.90561354,0.7439292,1.4938687,-16.487698
12.0,9.0,0.90387386,0.15885112,1.0276446,-8.3147745
13.0,0.0,1.195458,1.0481095,1.2209285,-90.31048
13.0,1.0,1.2335991,1.0435091,1.1979759,-80.50811
13.0,2.0,0.9399028,1.1011554,1.0150108,-70.88354
13.0,3.0,0.90246624,1.0469869,1.0697322,-61.29384
13.0,4.0,0.92144865,0.8976744,1.1808335,-51.945145
13.0,5.0,1.0659889,0.65131587,1.3707944,-42.873512
13.0,6.0,0.791704,0.35358194,1.0446466,-34.114944
13.0,7.0,0.949411,0.10269321,1.0052261,-25.295126
13.0,8.0,1.3689888,0.047834795,1.3649688,-16.618393
13.0,9.0,0.936791,0.052912988,0.96022785,-8.371386
14.0,0.0,1.4894245,0.25802612,1.3648577,-89.96434
14.0,1.0,1.6054134,0.39040095,1.4024265,-80.2706
14.0,2.0,1.0374448,0.6054978,0.9959823,-70.79649
14.0,3.0,1.3317556,0.66016364,1.3383791,-61.18863
14.0,4.0,1.2300466,0.6668777,1.389131,-52.04707
14.0,5.0,1.2740109,0.5181564,1.4920667,-43.12162
14.0,6.0,1.0247287,0.30622506,1.2202005,-34.436985
14.0,7.0,0.94363505,0.11301345,1.0089468,-25.753115
14.0,8.0,0.8965229,0.04867522,0.912896,-17.079586
14.0,9.0,0.8227651,0.03296137,0.8302143,-8.494068
15.0,0.0,1.4512796,6.0892034,1.9592613,-86.227875
15.0,1.0,1.55546,5.695124,2.079488,-76.87833
15.0,2.0,1.5728596,5.2766285,2.14692,-67.77017
15.0,3.0,1.3835717,4.7985387,2.1440787,-58.87262
15.0,4.0,1.2909122,4.1204405,2.0954669,-50.151863
15.0,5.0,1.0571287,3.3835568,1.8805016,-41.5859
15.0,6.0,1.0539328,2.6124322,1.7760586,-33.0999
15.0,7.0,0.7190238,1.9288843,1.4814546,-24.735964
15.0,8.0,0.8082115,1.1902587,1.6152045,-16.389282
15.0,9.0,0.7302134,0.3910876,1.0717115,-8.279936
16.0,0.0,0.43034887,1.8440568,0.6948453,-97.046455
16.0,1.0,0.33034784,1.6117963,0.59658885,-86.67568
16.0,2.0,0.30832875,1.3730156,0.57116884,-76.356186
16.0,3.0,0.30107236,1.1328323,0.60052013,-66.198944
16.0,4.0,0.36162806,0.85039234,0.7217628,-56.294605
16.0,5.0,0.35855502,0.50026286,0.70863074,-46.76522
16.0,6.0,0.33900356,0.15325217,0.4593754,-37.40926
16.0,7.0,0.42596215,0.03355136,0.4392689,-27.834238
16.0,8.0,0.3871024,0.020657783,0.3922516,-18.408627
16.0,9.0,0.43166614,0.015825063,0.4325314,-9.06636
17.0,0.0,0.5076386,8.545183,1.6251348,-86.08451
17.0,1.0,0.43391475,7.5792727,1.5107793,-76.5585
17.0,2.0,0.58262336,6.6351104,1.6271341,-67.15465
17.0,3.0,0.8023807,5.704694,1.8109063,-58.00699
17.0,4.0,0.7792888,4.792008,1.7339863,-49.137703
17.0,5.0,0.97908723,3.9156227,1.9030875,-40.407993
17.0,6.0,1.3376935,3.052676,2.1620111,-31.932121
17.0,7.0,1.4656794,2.273835,2.197542,-23.731045
17.0,8.0,1.426098,1.5734413,2.2311604,-15.707084
17.0,9.0,1.1846648,0.7840602,1.8138107,-7.8555307
18.0,0.0,1.07627,4.0786448,1.4480834,-87.09199
18.0,1.0,1.0900922,3.782481,1.4863372,-77.45546
18.0,2.0,1.031514,3.4553425,1.4964393,-68.03625
18.0,3.0,1.2269335,3.051446,1.7092854,-58.81168
18.0,4.0,0.9936318,2.6215246,1.5598141,-49.89102
18.0,5.0,1.1562517,2.097288,1.6913804,-41.068417
18.0,6.0,1.4566791,1.5940399,1.9979163,-32.49199
18.0,7.0,1.1693665,1.0742885,1.7962356,-24.225925
18.0,8.0,1.3292658,0.45655042,1.6754271,-16.03852
18.0,9.0,1.535029,0.11264195,1.5917301,-7.958804
19.0,0.0,1.385658,6.506486,1.9665589,-85.47883
19.0,1.0,1.4708264,6.0465155,2.0801966,-76.13275
19.0,2.0,1.529065,5.548107,2.1554074,-67.02491
19.0,3.0,1.39639,5.022209,2.187439,-58.130867
19.0,4.0,1.1348301,4.31751,1.983586,-49.42755
19.0,5.0,1.237638,3.539545,2.0920942,-40.814453
19.0,6.0,1.1337384,2.7398865,1.8831524,-32.418457
19.0,7.0,0.9549203,2.0310943,1.6950587,-24.10335
19.0,8.0,1.2333349,1.3173019,2.0132298,-15.86834
19.0,9.0,1.1843656,0.5483744,1.638744,-7.935671
20.0,0.0,0.49827906,5.90983,1.2494384,-89.48253
20.0,1.0,0.42253542,5.26395,1.1984322,-79.70277
